Amplitude (Max-Offset) (mean),Amp. rel. (Max-Offset) Filtering (min),Amp. rel. (Max-Offset) Filtering (max),Amp. rel. (Max-Offset) Filtering (mean),Frequency (Max) (mean),Frequency (Max) Filtering (mean),Open speed (mean),Close speed (mean),Speed (min),Speed (max),Speed (mean),Acceleration (mean),Amp.decline (linear regres),Freq.decline (linear regres)
73.8032,0.83,0.9515,0.9005,3.6539,3.7001,0.2462,0.2458,-2.7378,1.9199,0.5047,26.9669,-0.908,0.654
58.9514,0.6298,0.9116,0.7715,4.3573,4.4219,0.2404,0.2256,-2.1159,2.3086,0.4897,28.8906,25.457,0.205
64.6564,0.8199,0.9309,0.8711,4.3337,4.381,0.2599,0.2464,-2.1224,2.0178,0.5234,29.6747,-1.243,1.230
68.5662,0.8425,0.9206,0.8792,4.2094,4.2828,0.2696,0.259,-2.5327,2.2488,0.5469,32.5918,-0.168,1.295
67.48,0.6631,0.934,0.7663,3.4847,4.0437,0.1971,0.1884,-1.7608,1.507,0.4055,18.6977,15.041,1.196
60.5185,0.7283,0.917,0.8505,3.0871,3.1411,0.1687,0.1629,-1.6448,1.0955,0.3483,12.7616,10.378,-0.227
63.5494,0.4461,0.9606,0.737,2.8246,2.8818,0.1643,0.1594,-1.6327,1.6002,0.3379,13.4967,48.241,-0.487
59.3378,0.7672,0.9092,0.8481,3.6598,3.7306,0.198,0.1923,-1.3552,1.5116,0.3977,16.4317,2.294,-0.432
56.2297,0.6805,0.8172,0.73,3.6045,4.3577,0.1161,0.1099,-1.9885,1.3487,0.2363,10.419,8.698,0.358
79.9933,0.9294,0.9703,0.9486,2.0247,2.052,0.1182,0.1167,-1.7944,1.6565,0.2494,10.0045,0.571,-0.264
55.8902,0.7929,0.9507,0.8982,2.4513,2.4738,0.1036,0.0988,-0.8815,0.9679,0.2108,6.5501,8.926,-0.312
59.2592,0.8985,0.9734,0.9287,2.6667,2.7263,0.1198,0.1149,-1.0392,1.1542,0.2418,7.4807,4.168,-0.187
29.8044,0.3225,0.7716,0.4834,2.4905,2.4878,0.061,0.0619,-1.1213,0.9863,0.1342,4.625,9.319,0.482
30.0049,0.2798,0.7585,0.4518,2.8096,3.3023,0.0675,0.0682,-0.9586,0.9395,0.1481,4.8533,3.613,2.274
30.7115,0.362,0.7661,0.5658,2.2388,2.572,0.0632,0.0622,-1.7129,1.2525,0.1453,6.0428,9.124,1.580
44.0942,0.3896,0.8383,0.5944,2.7297,2.8631,0.1064,0.1065,-1.8074,1.1068,0.2244,9.1739,9.963,1.012
65.9686,0.5699,0.9382,0.7235,4.6612,4.7571,0.2838,0.2817,-3.0836,2.6754,0.5847,34.0198,35.514,-0.126
68.9878,0.7328,0.9703,0.8232,4.7898,4.8234,0.2997,0.2942,-2.6527,2.2665,0.6133,31.5161,16.900,0.788
64.1409,0.5941,0.8761,0.7198,4.7219,4.8151,0.2753,0.2784,-2.6287,2.3758,0.5712,30.8502,15.685,0.491
64.0185,0.6632,0.9255,0.741,5.2411,5.3123,0.2705,0.2695,-2.1578,2.6081,0.5531,25.0124,20.183,0.771
49.7587,0.4705,0.8302,0.6115,4.0469,4.151,0.1722,0.1677,-2.4641,2.1282,0.3497,15.7932,19.438,-0.063
59.8792,0.5278,0.9553,0.772,3.9366,4.0224,0.1955,0.1912,-2.5116,2.1181,0.3999,22.0644,40.967,0.275
61.9681,0.7089,0.8484,0.7624,3.9933,4.0274,0.218,0.2098,-2.5362,1.9412,0.4444,24.3091,6.193,0.171
80.3479,0.8016,0.9825,0.9066,3.6464,3.7351,0.2687,0.2616,-3.086,2.6122,0.5617,36.8256,17.687,-1.032
74.7705,0.6814,0.9773,0.867,3.6325,3.7165,0.2558,0.2559,-3.1639,2.5734,0.5345,34.0532,7.658,-0.353
63.242,0.3277,0.9798,0.7514,3.8023,3.8573,0.2221,0.2269,-3.2309,2.6266,0.4697,30.4263,58.674,-0.091
